,date,total_commute
761,2020-02-01,180
762,2020-02-02,0
763,2020-02-03,4230
764,2020-02-04,2220
765,2020-02-05,3425
766,2020-02-06,4725
767,2020-02-07,3945
768,2020-02-08,535
769,2020-02-09,0
770,2020-02-10,2160
771,2020-02-11,2175
772,2020-02-12,3040
773,2020-02-13,1770
774,2020-02-14,2430
775,2020-02-15,85
776,2020-02-16,0
777,2020-02-17,2540
778,2020-02-18,3075
779,2020-02-19,2620
780,2020-02-20,2330
781,2020-02-21,2115
782,2020-02-22,185
783,2020-02-23,0
784,2020-02-24,2760
785,2020-02-25,3025
786,2020-02-26,2180
787,2020-02-27,2650
788,2020-02-28,1455
789,2020-02-29,155
790,2020-03-01,65
791,2020-03-02,2290
792,2020-03-03,3920
793,2020-03-04,3670
794,2020-03-05,3035
795,2020-03-06,2175
796,2020-03-07,855
797,2020-03-08,70
798,2020-03-09,4315
799,2020-03-10,1990
800,2020-03-11,2965
801,2020-03-12,2495
802,2020-03-13,815
803,2020-03-14,575
804,2020-03-15,250
805,2020-03-16,1620
806,2020-03-17,1500
807,2020-03-18,1280
808,2020-03-19,310
809,2020-03-20,1020
810,2020-03-21,245
811,2020-03-22,580
812,2020-03-23,700
813,2020-03-24,340
814,2020-03-25,2360
815,2020-03-26,1550
816,2020-03-27,1580
817,2020-03-28,775
818,2020-03-29,210
819,2020-03-30,440
820,2020-03-31,1345
821,2020-04-01,1575
822,2020-04-02,1900
823,2020-04-03,1840
824,2020-04-04,1045
825,2020-04-05,2650
826,2020-04-06,2420
827,2020-04-07,2525
828,2020-04-08,3445
829,2020-04-09,2700
830,2020-04-10,2760
831,2020-04-11,2990
832,2020-04-12,1710
833,2020-04-13,495
834,2020-04-14,1615
835,2020-04-15,2770
836,2020-04-16,2865
837,2020-04-17,2610
838,2020-04-18,985
839,2020-04-19,2210
840,2020-04-20,2615
841,2020-04-21,1425
842,2020-04-22,2690
843,2020-04-23,3460
844,2020-04-24,2815
845,2020-04-25,1390
846,2020-04-26,2290
847,2020-04-27,1785
848,2020-04-28,540
849,2020-04-29,1485
850,2020-04-30,940
851,2020-05-01,475
852,2020-05-02,1105
853,2020-05-03,1980
854,2020-05-04,1830
855,2020-05-05,3055
856,2020-05-06,3115
857,2020-05-07,3205
858,2020-05-08,4620
859,2020-05-09,4320
860,2020-05-10,2050
861,2020-05-11,1755
862,2020-05-12,3270
863,2020-05-13,2240
864,2020-05-14,3830
865,2020-05-15,4035
866,2020-05-16,2535
867,2020-05-17,2455
868,2020-05-18,5655
869,2020-05-19,5150
870,2020-05-20,5375
871,2020-05-21,4390
872,2020-05-22,1945
873,2020-05-23,1165
874,2020-05-24,1050
875,2020-05-25,3745
876,2020-05-26,5875
877,2020-05-27,6190
878,2020-05-28,6665
879,2020-05-29,2850
880,2020-05-30,4280
881,2020-05-31,3250
882,2020-06-01,4175
883,2020-06-02,7485
884,2020-06-03,6395
885,2020-06-04,3285
886,2020-06-05,1145
887,2020-06-06,1725
888,2020-06-07,735
889,2020-06-08,4780
890,2020-06-09,6770
891,2020-06-10,5750
892,2020-06-11,4810
893,2020-06-12,5410
894,2020-06-13,4260
895,2020-06-14,2650
896,2020-06-15,6385
897,2020-06-16,6480
898,2020-06-17,6270
899,2020-06-18,4045
900,2020-06-19,5365
901,2020-06-20,3275
902,2020-06-21,3395
903,2020-06-22,7755
904,2020-06-23,7825
905,2020-06-24,7385
906,2020-06-25,6500
